title,author,genre,sex,view,recommandation_count,total_serial_num,preferred_age
연극(戀劇),미윤,판타지,남자,3697,2,22 ,30
검은시간나이테,몽환의광대,판타지,남자,26486,371,232 ,30
제국의새벽,不忘,대체역사,남자,1737133,11455,12 ,40
첩혈신룡,도검,무협,남자,472625,2695,15 ,50
다크사이드,현성(玹成),판타지,남자,85902,548,23 ,30
회귀의장,바람의벗,판타지,남자,4312348,24556,117 ,30
인형사네트,펜드라곤o,게임,남자,10187,121,18 ,10
정령수,오마(午馬),판타지,남자,57440,218,11 ,30
황금호밀,밀가루백작,판타지,남자,4798,20,8 ,30
폴라이트테일즈,갈랑,게임 판타지,남자,8602275,128753,615 ,30
천마신공,진문영,무협,남자,87445,97,2 ,50
대박선인,문화강대국,무협,남자,2783,13,1 ,40
영웅담,느루,무협,남자,650024,931,112 ,50
포션히어로,JJunii,판타지,남자,35845,144,0 ,30
취접,장자몽,무협,남자,678576,822,108 ,50
유니크메지션,유빈(瑜彬),판타지,남자,14758,81,12 ,40
천하제일만년학사,월영신,무협,남자,1045841,4634,12 ,50
대협,초혼(草魂),무협,남자,20832,129,10 ,50
풍운,마라도,무협,남자,208836,449,7 ,50
철혈의선,진필명,무협,남자,403129,622,10 ,50
이인전,빈스토크,무협,남자,108742,482,45 ,50
월광알바트로스,프로즌,판타지 퓨전,남자,347969,139,20 ,30
왕목객잔,녹목목목,무협,남자,602482,3534,0 ,50
백혈신화,희매,무협,남자,676725,163,0 ,50
백일몽의숲,고래비,일반소설,남자,56,0,1 ,30
군림의역사,무천검임,대체역사,남자,13256,70,7 ,40
여명지검,김시하.,무협,남자,362766,234,16 ,40
소울테이머,일전불사,게임,남자,1173508,6785,245 ,40
사마독보,殘魔星,무협,남자,1111,3,2 ,30
괴걸독보,마하(摩訶),무협,남자,436711,44,9 ,50
나비의꿈,정한담,현대판타지,남자,127407,535,10 ,40
권왕전생,임경배,판타지,남자,1250663,4600,44 ,20
워록사가,검미성,판타지,남자,612228,15128,91 ,20
워로드구오,김운영,게임,남자,450851,0,0 ,10
TheKingandI,프리시커,퓨전,남자,44208,177,57 ,40
쾌헌명격,광천광야,판타지,남자,6206,2,5 ,20
야수,유호,현대판타지,남자,101926,230,2 ,40
적운의별,강호풍,무협,남자,695825,68,13 ,50
선무,초[류희윤],퓨전 무협,남자,563290,183,13 ,50
귀환마도,합마,무협,남자,187364,414,6 ,50
곡두가머무는자리,밀가루백작,현대판타지,여자,2423,7,6 ,30
붉은검의기사,펜리스펜릴,판타지,남자,66146,99,57 ,30
잃어버린이름,카이첼,판타지,남자,18261,93,195 ,30
신선탕,고우故友,무협,남자,184974,355,8 ,30
절대무황,맹세,무협,남자,139462,241,7 ,40
천마(天魔),정몽주,무협,남자,7852,15,4 ,40
야구,모신나강,무협,남자,1842,1,0 ,20
결혼원정기(출간),글곰,판타지,남자,267450,59,6 ,30
설산대형,진필명,무협,남자,237060,836,10 ,50
금지된세계,김백호,게임,남자,213116,90,6 ,20
어느날그어느곳,寒夜,판타지,남자,14249,136,39 ,30
카르시안,은은한별,판타지,남자,4166,61,13 ,30
금가무적,취몽객,퓨전,남자,435797,447,28 ,30
TheOrigin서,arazel,SF,남자,163505,1212,122 ,40
룬의제황,루비의꿈,퓨전,남자,426507,41,15 ,50
능력복제술사,엽사,퓨전,남자,101395,8,19 ,10
십이소십이다,한수오,무협,남자,232068,19,11 ,50
조디악,키드리어,현대판타지,남자,28117,269,32 ,30
소울게이트,갈움,게임,남자,162576,924,32 ,30
